id,tipo,en_stock,categorias,nombre,url
208979,variable,False,Croqueras|Papeles,Canson XL Croquis,https://www.boykot.cl/tienda/materiales/papeles/croqueras-papeles/canson-xl-croquis/
117868,variable,False,Croqueras|Croqueras,Canson croquera anillada 1557 A5-A4,https://www.boykot.cl/tienda/materiales/papeles/croqueras-papeles/canson-croquera-anillada-1557-a5-a4/
116950,variable,False,Cordones|Cordones Planos Básicos,Cordones Planos &#8211; Dark Brown,https://www.boykot.cl/tienda/pintura/angelus/cordones/cordones-planos-dark-brown/
116936,variable,False,Cordones|Cordones Planos Básicos,Cordones Planos &#8211; Light Beige,https://www.boykot.cl/tienda/pintura/angelus/cordones/cordones-planos-light-beige/
116901,variable,False,Cordones|Cordones Planos Básicos,Cordones Planos &#8211; Brown,https://www.boykot.cl/tienda/pintura/angelus/cordones/cordones-planos-brown/
116894,variable,False,Cordones,Cordones Planos &#8211; Beige,https://www.boykot.cl/tienda/pintura/angelus/cordones/cordones-planos-beige/
116880,variable,False,Cordones|Cordones Planos Básicos,Cordones Planos &#8211; Lilac,https://www.boykot.cl/tienda/pintura/angelus/cordones/cordones-planos-lilac/
116859,variable,False,Cordones|Cordones Planos Básicos,Cordones Planos &#8211; Pale Yellow,https://www.boykot.cl/tienda/pintura/angelus/cordones/cordones-planos-pale-yellow/
116741,variable,False,Cordones|Cordones Planos Básicos,Cordones Planos &#8211; Pink,https://www.boykot.cl/tienda/pintura/angelus/cordones/cordones-planos-pink/
116734,variable,False,Cordones|Cordones Planos Básicos,Cordones Planos &#8211; Navy Blue,https://www.boykot.cl/tienda/pintura/angelus/cordones/cordones-planos-navy-blue/
116683,variable,False,Cordones|Cordones Redondos Ovalados,Cordones Ovalados &#8211; White,https://www.boykot.cl/tienda/pintura/angelus/cordones/cordones-ovalados-white/
116650,variable,False,Cordones|Cordones Planos de Cuero,Cordones Planos Luxury Leather &#8211; Gold/Gold Plated,https://www.boykot.cl/tienda/pintura/angelus/cordones/cordones-planos-luxury-leather-gold-gold-plated/
116097,variable,False,Cordones|Cordones Redondos para Bota,Cordones Redondos Bota &#8211; Black/Tan,https://www.boykot.cl/tienda/pintura/angelus/cordones/cordones-redondos-para-bota-black-tan/
114737,variable,False,NINGUNA,Bolso RFLCTIV Rainbow Reflective Tri-Strap,https://www.boykot.cl/tienda/uncategorized/bolso-rflctiv/
114685,variable,False,NINGUNA,Chaqueta RFLCTIV Rainbow Reflective Jacket L,https://www.boykot.cl/tienda/uncategorized/chaqueta-rflctiv-rainbow-reflective-jacket/
114553,variable,False,NINGUNA,Bolso Essential Shoulder Bag  &#8211; Olive,https://www.boykot.cl/tienda/uncategorized/bolso-essential-shoulder-bag/
114517,variable,False,NINGUNA,Bolso EDC Essential Shoulder Bag (Black),https://www.boykot.cl/tienda/uncategorized/bolso-edc-essential-shoulder-bag/
114367,variable,False,NINGUNA,Polerón The Watchers Hoodie (Pigment Black) M,https://www.boykot.cl/tienda/uncategorized/poleron-the-watchers-hoodie/
97939,variable,False,Kuretake|Marcadores,Posterman Biggie 50,https://www.boykot.cl/tienda/marcadores/posterman-biggie-50/
97124,variable,False,Color|Kirarina|Marcadores,Marcador Copic Kirarina 2win Scented,https://www.boykot.cl/tienda/marcadores/kirarina/marcador-copic-kirarina-2win-scented/
85586,variable,False,Accesorios Holbein|Empty,Acrylic Ink Refillable Marker,https://www.boykot.cl/tienda/pintura/holbein/accesorios-holbein/acrylic-ink-refillable-marker/
73259,variable,False,Copic,"Multiliner Sp Copic Color 0,3 mm",https://www.boykot.cl/tienda/marcadores/copic-markers/multiliner-sp-copic-color-03-mm/
71012,variable,False,Color|Marcadores pintura|ONE4ALL,ACRYLIC MARKER ONE4ALL 427HS 15mm,https://www.boykot.cl/tienda/marcadores/molotow-markers/one4all/marker-427-one4all-acryl-15mm/
61682,variable,False,Croqueras|Papeles,Libreta Hahnemühle Nostalgie 190 grs. 80 hojas,https://www.boykot.cl/tienda/materiales/papeles/croqueras-papeles/croquera-hahnemuhle-nostalgie-190-grs-80-hojas-a6-vertical/
52511,variable,False,Sellantes y aditivos,Golden GAC 900 (textil),https://www.boykot.cl/tienda/pintura/sellante/medium-golden-gac-900-textil-32-onzas/
52414,variable,False,Color|Pinturas en aerosol|Spray,Molotow UFA Effect 400ml,https://www.boykot.cl/tienda/pintura/spray/molotow-effect-400ml/
52385,variable,False,Color|Pinturas en aerosol|Spray,Molotow Metallic  400ml,https://www.boykot.cl/tienda/pintura/spray/molotow-metallic-400ml/
46260,variable,False,Accesorios|Destacados,Mesa Futura,https://www.boykot.cl/tienda/materiales/accesorios-materiales/mesa-futura/
43123,variable,False,Barnices|Color|Sellantes|Spray|Sprays|Urban Fine Art,Molotow UV-Varnish 400ml,https://www.boykot.cl/tienda/pintura/sprays/urban-fine-art/molotow-uv-varnish-400ml/
41520,variable,False,Color|Esmalte,Street Art Acrílico UV resistant 16lts,https://www.boykot.cl/tienda/color/street-art-esmalte-satinado-16lts/
10229,variable,False,Accesorios|Xpressit,Mask It Roll Xpress it,https://www.boykot.cl/tienda/materiales/accesorios-materiales/mask-it-roll-15x4/
7609,variable,False,Lápices|Tiralineas,Multiliner Sp Copic Color BS,https://www.boykot.cl/tienda/lapices/tiralineas/multiliner-sp-copic-purple-bs/
6204,variable,False,Color|Individual|Marcadores|Molotow|Molotow markers|Punta T,440PP Punta T 20mm,https://www.boykot.cl/tienda/marcadores/molotow-markers/molotow-markers-individual/440pp-punta-t-20mm/
